,,,,,,,,,,,
Data,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,>89,Totali
08/12/20,64100,145048,210095,213072,276468,313460,193357,144975,127217,49316,1737108
09/12/20,64888,146376,211939,215093,279226,316543,195330,146577,128705,49895,1754572
10/12/20,65354,147180,212946,216141,280688,318145,196373,147367,129341,50134,1763669
12/12/20,66679,149338,216068,219516,285218,323383,199635,149823,131756,51113,1792529
13/12/20,67338,150725,217910,221584,287910,326285,201588,151280,132966,51587,1809173
14/12/20,68151,152178,219793,223617,290549,329252,203413,152658,134093,52044,1825748
15/12/20,68594,153017,221068,224928,292312,331235,204687,153687,135042,52410,1836980
16/12/20,69974,155420,224348,228541,297068,336487,207995,156264,137201,53203,1866501
17/12/20,70455,156202,225376,229592,298608,338241,209096,157115,137959,53529,1876173
18/12/20,71268,157645,227521,231819,301549,341342,211123,158619,139134,54001,1894021
19/12/20,72029,158980,229468,233954,304328,344297,213022,160078,140408,54493,1911057
20/12/20,72598,160001,230949,235482,306284,346437,214451,161103,141282,54855,1923442
21/12/20,73841,162274,234201,239017,310812,351436,217790,163724,143420,55648,1952163
22/12/20,74520,163404,235673,240467,312628,353400,219219,164483,143613,55476,1962883
23/12/20,75304,164508,237255,242250,314949,355863,220705,165672,144569,55840,1976915
24/12/20,75746,165075,238373,243619,316632,357767,222020,166585,145730,56499,1988046
25/12/20,76243,165878,239564,244873,318235,359558,223130,167476,146413,56747,1998117
26/12/20,76947,166948,241196,246667,320587,362030,224860,168639,147323,57086,2012283
27/12/20,77310,167573,242033,247545,321685,363247,225695,169320,147827,57288,2019523
29/12/20,78664,170048,245454,251222,326570,368633,229199,172071,149946,57988,2049795
30/12/20,79046,170790,246573,252361,327999,370198,230229,172903,150627,58286,2059012
31/12/20,79670,171953,248253,254285,330273,372665,231921,174106,151510,58599,2073235
01/01/21,80436,173423,250631,256956,333418,376051,234189,175676,152843,59063,2092686
02/01/21,81027,174338,251952,258464,335184,377925,235523,176698,153506,59283,2103900
03/01/21,81757,175746,253900,260436,337651,380665,237458,178075,154467,59591,2119746
04/01/21,82585,177260,256054,262843,340639,384001,239590,179677,155786,59998,2138433
05/01/21,83551,179103,258569,265542,344028,387763,242094,181467,157095,60413,2159625
06/01/21,84084,180175,260253,267472,346502,390425,243897,182874,158240,60864,2174786
07/01/21,84948,181877,262785,270150,349598,393993,246316,184619,159522,61317,2195125
08/01/21,85526,183207,264662,272085,351837,396527,247926,185904,160453,61697,2209824
09/01/21,86269,184704,266646,274116,354355,399332,249731,187228,161547,62046,2225974
10/01/21,86901,185773,268231,275605,356143,401213,251050,188085,162283,62265,2237549
11/01/21,87857,187573,270683,278026,359157,404466,253306,189768,163556,62656,2257048
12/01/21,88678,189209,272823,280180,361921,407442,255197,191267,164725,63014,2274456
13/01/21,89554,191106,275561,282965,365322,411149,257717,193150,166278,63504,2296306
14/01/21,89991,192013,276869,284270,366870,412902,258897,194030,166997,63766,2306605
15/01/21,90552,193075,278182,285567,368633,414751,260065,194903,167725,64018,2317471
16/01/21,91380,194590,280073,287488,371068,417489,261829,196364,168881,64414,2333576
17/01/21,91913,195494,281184,288635,372472,419050,262855,197188,169497,64636,2342924
19/01/21,93900,199153,285875,293420,378647,425897,267475,200695,172403,65741,2383206
21/01/21,95302,201502,288773,296484,382420,430235,270234,202791,174007,66323,2408071
22/01/21,96003,202650,290131,297908,384298,432239,271613,203730,174681,66580,2419833
23/01/21,96591,203643,291264,299152,385896,434014,272861,204658,175404,66823,2430306
